Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS40D4R-83-IVSD-TR"
484,"60"
485,"64"
486,"71"
487,"65"
488,"45"
489,"42"
490,"49"
491,"50"
492,"56"
493,"51"
494,"42"
495,"52"
496,"52"
497,"62"
498,"49"
499,"60"
500,"51"
501,"48"
502,"43"
503,"43"
504,"54"
505,"62"
506,"44"
507,"56"
508,"58"
509,"60"
510,"52"
511,"52"
512,"65"
513,"54"
514,"81"
515,"63"
516,"85"
517,"63"
518,"81"
519,"70"
520,"101"
521,"71"
522,"104"
523,"73"
524,"101"
525,"110"
526,"134"
527,"172"
528,"202"
529,"175"
530,"195"
531,"229"
532,"233"
533,"207"
534,"188"
535,"151"
536,"152"
537,"133"
538,"122"
539,"109"
540,"114"
541,"83"
542,"76"
543,"87"
544,"83"
545,"78"
546,"119"
547,"75"
548,"96"
549,"86"
550,"76"
551,"104"
552,"100"
553,"98"
554,"103"
555,"90"
556,"83"
557,"99"
558,"97"
559,"107"
560,"124"
561,"106"
562,"123"
563,"108"
564,"126"
565,"112"
566,"124"
567,"109"
568,"109"
569,"121"
570,"110"
571,"107"
572,"110"
573,"108"
574,"131"
575,"134"
576,"102"
577,"134"
578,"132"
579,"116"
580,"123"
581,"111"
582,"127"
583,"117"
584,"123"
585,"155"
586,"162"
587,"146"
588,"151"
589,"184"
590,"179"
591,"179"
592,"176"
593,"144"
594,"177"
595,"155"
596,"163"
597,"153"
598,"164"
599,"174"
600,"165"
601,"160"
602,"145"
603,"159"
604,"174"
605,"153"
606,"152"
607,"169"
608,"171"
609,"165"
610,"168"
611,"153"
612,"171"
613,"179"
614,"164"
615,"179"
616,"184"
617,"196"
618,"146"
619,"170"
620,"194"
621,"201"
622,"197"
623,"185"
624,"198"
625,"184"
626,"173"
627,"194"
628,"230"
629,"203"
630,"197"
631,"219"
632,"241"
633,"224"
634,"196"
635,"224"
636,"236"
637,"242"
638,"220"
639,"246"
640,"220"
641,"251"
642,"223"
643,"236"
644,"228"
645,"237"
646,"224"
647,"255"
648,"246"
649,"247"
650,"261"
651,"241"
652,"267"
653,"240"
654,"283"
655,"270"
656,"245"
657,"303"
658,"265"
659,"269"
660,"280"
661,"305"
662,"308"
663,"282"
664,"297"
665,"358"
666,"422"
667,"470"
668,"535"
669,"657"
670,"805"
671,"879"
672,"950"
673,"1054"
674,"1116"
675,"1181"
676,"1074"
677,"1014"
678,"899"
679,"814"
680,"701"
681,"599"
682,"527"
683,"501"
684,"453"
685,"344"
686,"365"
687,"358"
688,"339"
689,"327"
690,"329"
691,"345"
692,"328"
693,"324"
694,"315"
695,"291"
696,"291"
697,"327"
698,"296"
699,"297"
700,"352"
701,"326"
702,"347"
703,"378"
704,"375"
705,"425"
706,"403"
707,"504"
708,"602"
709,"670"
710,"745"
711,"808"
712,"851"
713,"866"
714,"931"
715,"841"
716,"798"
717,"738"
718,"674"
719,"616"
720,"529"
721,"505"
722,"469"
723,"378"
724,"388"
725,"332"
726,"377"
727,"380"
728,"363"
729,"372"
730,"361"
731,"359"
732,"393"
733,"349"
734,"366"
735,"367"
736,"394"
737,"379"
738,"375"
739,"375"
740,"383"
741,"401"
742,"418"
743,"430"
744,"450"
745,"462"
746,"493"
747,"494"
748,"506"
749,"570"
750,"605"
751,"670"
752,"638"
753,"640"
754,"659"
755,"639"
756,"685"
757,"633"
758,"602"
759,"571"
760,"565"
761,"524"
762,"480"
763,"459"
764,"476"
765,"435"
766,"434"
767,"446"
768,"453"
769,"489"
770,"458"
771,"427"
772,"448"
773,"433"
774,"462"
775,"408"
776,"444"
777,"481"
778,"435"
779,"484"
780,"450"
781,"485"
782,"494"
783,"573"
784,"584"
785,"588"
786,"647"
787,"700"
788,"782"
789,"879"
790,"890"
791,"1006"
792,"1102"
793,"1064"
794,"1148"
795,"1215"
796,"1102"
797,"1121"
798,"1061"
799,"961"
800,"857"
801,"799"
802,"712"
803,"658"
804,"618"
805,"622"
806,"560"
807,"504"
808,"540"
809,"488"
810,"516"
811,"541"
812,"506"
813,"501"
814,"533"
815,"521"
816,"518"
817,"524"
818,"509"
819,"579"
820,"534"
821,"533"
822,"517"
823,"560"
824,"530"
825,"531"
826,"530"
827,"571"
828,"566"
829,"571"
830,"595"
831,"579"
832,"594"
833,"597"
834,"592"
835,"587"
836,"654"
837,"669"
838,"662"
839,"604"
840,"626"
841,"590"
842,"633"
843,"611"
844,"618"
845,"577"
846,"565"
847,"568"
848,"598"
849,"579"
850,"589"
851,"595"
852,"581"
853,"573"
854,"588"
855,"586"
856,"568"
857,"548"
858,"596"
859,"568"
860,"615"
861,"624"
862,"596"
863,"545"
864,"615"
865,"583"
866,"637"
867,"649"
868,"646"
869,"681"
870,"733"
871,"672"
872,"733"
873,"719"
874,"760"
875,"800"
876,"838"
877,"850"
878,"840"
879,"862"
880,"858"
881,"884"
882,"840"
883,"882"
884,"915"
885,"882"
886,"845"
887,"802"
888,"908"
889,"859"
890,"807"
891,"830"
892,"795"
893,"806"
894,"793"
895,"816"
896,"819"
897,"756"
898,"734"
899,"791"
900,"777"
901,"797"
902,"834"
903,"815"
904,"795"
905,"818"
906,"770"
907,"821"
908,"796"
909,"850"
910,"837"
911,"854"
912,"890"
913,"902"
914,"942"
915,"917"
916,"919"
917,"982"
918,"972"
919,"952"
920,"940"
921,"966"
922,"1031"
923,"1025"
924,"1052"
925,"1117"
926,"1087"
927,"1114"
928,"1120"
929,"1233"
930,"1275"
931,"1296"
932,"1324"
933,"1406"
934,"1474"
935,"1521"
936,"1538"
937,"1692"
938,"1669"
939,"1861"
940,"1823"
941,"2058"
942,"2038"
943,"2197"
944,"2241"
945,"2253"
946,"2498"
947,"2465"
948,"2717"
949,"2640"
950,"2862"
951,"2904"
952,"2949"
953,"2951"
954,"2934"
955,"2998"
956,"3025"
957,"3139"
958,"3144"
959,"3185"
960,"3022"
961,"3047"
962,"3032"
963,"2891"
964,"2888"
965,"2748"
966,"2846"
967,"2597"
968,"2498"
969,"2528"
970,"2264"
971,"2304"
972,"2165"
973,"2104"
974,"1965"
975,"1901"
976,"1778"
977,"1756"
978,"1607"
979,"1652"
980,"1544"
981,"1483"
982,"1468"
983,"1343"
984,"1314"
985,"1305"
986,"1304"
987,"1206"
988,"1103"
989,"1090"
990,"1077"
991,"1053"
992,"1076"
993,"1010"
994,"1005"
995,"927"
996,"1018"
997,"954"
998,"939"
999,"901"
1000,"908"
1001,"945"
1002,"914"
1003,"920"
1004,"981"
1005,"1032"
1006,"1047"
1007,"1096"
1008,"1205"
1009,"1375"
1010,"1416"
1011,"1454"
1012,"1597"
1013,"1706"
1014,"1841"
1015,"1865"
1016,"1902"
1017,"1891"
1018,"1955"
1019,"1945"
1020,"1922"
1021,"1761"
1022,"1693"
1023,"1635"
1024,"1403"
1025,"1366"
1026,"1263"
1027,"1148"
1028,"1007"
1029,"940"
1030,"956"
1031,"849"
1032,"809"
1033,"779"
1034,"822"
1035,"820"
1036,"817"
1037,"802"
1038,"829"
1039,"873"
1040,"796"
1041,"827"
1042,"900"
1043,"887"
1044,"875"
1045,"846"
1046,"908"
1047,"904"
1048,"867"
1049,"932"
1050,"946"
1051,"1002"
1052,"1062"
1053,"1174"
1054,"1196"
1055,"1225"
1056,"1284"
1057,"1375"
1058,"1418"
1059,"1551"
1060,"1527"
1061,"1632"
1062,"1678"
1063,"1694"
1064,"1766"
1065,"1724"
1066,"1792"
1067,"1850"
1068,"1823"
1069,"1786"
1070,"1760"
1071,"1640"
1072,"1617"
1073,"1630"
1074,"1485"
1075,"1342"
1076,"1369"
1077,"1293"
1078,"1221"
1079,"1235"
1080,"1103"
1081,"1198"
1082,"1086"
1083,"1028"
1084,"1074"
1085,"1030"
1086,"970"
1087,"980"
1088,"1004"
1089,"983"
1090,"992"
1091,"997"
1092,"964"
1093,"883"
1094,"896"
1095,"914"
1096,"901"
1097,"858"
1098,"866"
1099,"804"
1100,"800"
1101,"829"
1102,"757"
1103,"755"
1104,"788"
1105,"779"
1106,"746"
1107,"756"
1108,"727"
1109,"732"
1110,"753"
1111,"771"
1112,"732"
1113,"735"
1114,"706"
1115,"693"
1116,"698"
1117,"687"
1118,"642"
1119,"712"
1120,"727"
1121,"680"
1122,"678"
1123,"719"
1124,"690"
1125,"617"
1126,"658"
1127,"657"
1128,"643"
1129,"645"
1130,"661"
1131,"678"
1132,"617"
1133,"641"
1134,"654"
1135,"633"
1136,"711"
1137,"721"
1138,"713"
1139,"710"
1140,"747"
1141,"796"
1142,"756"
1143,"811"
1144,"829"
1145,"829"
1146,"861"
1147,"803"
1148,"889"
1149,"782"
1150,"754"
1151,"756"
1152,"747"
1153,"695"
1154,"690"
1155,"663"
1156,"646"
1157,"653"
1158,"662"
1159,"659"
1160,"595"
1161,"666"
1162,"605"
1163,"641"
1164,"621"
1165,"627"
1166,"661"
1167,"636"
1168,"601"
1169,"624"
1170,"604"
1171,"656"
1172,"629"
1173,"652"
1174,"645"
1175,"596"
1176,"598"
1177,"615"
1178,"639"
1179,"594"
1180,"595"
1181,"563"
1182,"603"
1183,"556"
1184,"595"
1185,"593"
1186,"565"
1187,"610"
1188,"582"
1189,"586"
1190,"579"
1191,"617"
1192,"605"
1193,"654"
1194,"618"
1195,"692"
1196,"674"
1197,"675"
1198,"666"
1199,"653"
1200,"660"
1201,"664"
1202,"696"
1203,"687"
1204,"673"
1205,"701"
1206,"607"
1207,"644"
1208,"614"
1209,"626"
1210,"618"
1211,"625"
1212,"567"
1213,"573"
1214,"579"
1215,"605"
1216,"512"
1217,"627"
1218,"536"
1219,"562"
1220,"613"
1221,"586"
1222,"553"
1223,"564"
1224,"579"
1225,"541"
1226,"583"
1227,"604"
1228,"611"
1229,"531"
1230,"605"
1231,"555"
1232,"542"
1233,"548"
1234,"571"
1235,"570"
1236,"555"
1237,"520"
1238,"543"
1239,"539"
1240,"542"
1241,"511"
1242,"474"
1243,"515"
1244,"587"
1245,"521"
1246,"531"
1247,"605"
1248,"522"
1249,"491"
1250,"531"
1251,"479"
1252,"525"
1253,"551"
1254,"517"
1255,"485"
1256,"487"
1257,"572"
1258,"497"
1259,"501"
1260,"538"
1261,"530"
1262,"502"
1263,"487"
1264,"515"
1265,"489"
1266,"508"
1267,"495"
1268,"523"
1269,"506"
1270,"501"
1271,"523"
1272,"508"
1273,"517"
1274,"508"
1275,"521"
1276,"522"
1277,"508"
1278,"497"
1279,"513"
1280,"494"
1281,"501"
1282,"450"
1283,"505"
1284,"505"
1285,"481"
1286,"529"
1287,"483"
1288,"515"
1289,"470"
1290,"456"
1291,"469"
1292,"486"
1293,"514"
1294,"487"
1295,"447"
1296,"485"
1297,"484"
1298,"472"
1299,"485"
1300,"483"
1301,"503"
1302,"447"
1303,"501"
1304,"450"
1305,"480"
1306,"491"
1307,"472"
1308,"495"
1309,"514"
1310,"478"
1311,"466"
1312,"431"
1313,"506"
1314,"456"
1315,"478"
1316,"443"
1317,"455"
1318,"484"
1319,"477"
1320,"455"
1321,"459"
1322,"442"
1323,"469"
1324,"450"
1325,"444"
1326,"470"
1327,"434"
1328,"489"
1329,"461"
1330,"433"
1331,"434"
1332,"425"
1333,"442"
1334,"449"
1335,"481"
1336,"465"
1337,"455"
1338,"430"
1339,"450"
1340,"423"
1341,"417"
1342,"457"
1343,"450"
1344,"401"
1345,"415"
1346,"403"
1347,"413"
1348,"441"
1349,"449"
1350,"431"
1351,"443"
1352,"437"
1353,"434"
1354,"393"
1355,"423"
1356,"431"
1357,"421"
1358,"445"
1359,"406"
1360,"415"
1361,"402"
1362,"425"
1363,"405"
1364,"494"
1365,"412"
1366,"451"
1367,"389"
1368,"402"
1369,"385"
1370,"381"
1371,"389"
1372,"395"
1373,"405"
1374,"409"
1375,"381"
1376,"433"
1377,"426"
1378,"373"
1379,"394"
1380,"415"
1381,"385"
1382,"398"
1383,"364"
1384,"395"
1385,"410"
1386,"426"
1387,"453"
1388,"388"
1389,"414"
1390,"384"
1391,"394"
1392,"376"
1393,"359"
1394,"408"
1395,"372"
1396,"388"
1397,"343"
1398,"357"
1399,"394"
1400,"359"
1401,"384"
1402,"354"
1403,"374"
1404,"368"
1405,"385"
1406,"364"
1407,"394"
1408,"368"
1409,"363"
1410,"364"
1411,"356"
1412,"362"
1413,"358"
1414,"379"
1415,"334"
1416,"330"
1417,"381"
1418,"347"
1419,"361"
1420,"312"
1421,"382"
1422,"329"
1423,"345"
1424,"334"
1425,"383"
1426,"348"
1427,"367"
1428,"357"
1429,"346"
1430,"340"
1431,"342"
1432,"348"
1433,"358"
1434,"342"
1435,"343"
1436,"355"
1437,"358"
1438,"345"
1439,"357"
1440,"305"
1441,"360"
1442,"348"
1443,"332"
1444,"304"
1445,"353"
1446,"289"
1447,"306"
1448,"297"
1449,"325"
1450,"327"
1451,"343"
1452,"329"
1453,"318"
1454,"321"
1455,"297"
1456,"292"
1457,"272"
1458,"343"
1459,"320"
1460,"310"
1461,"295"
1462,"297"
1463,"319"
1464,"327"
1465,"305"
1466,"284"
1467,"321"
1468,"306"
1469,"322"
1470,"294"
1471,"320"
1472,"301"
1473,"305"
1474,"289"
1475,"294"
1476,"280"
1477,"278"
1478,"299"
1479,"266"
1480,"283"
1481,"315"
1482,"301"
1483,"258"
1484,"298"
1485,"281"
1486,"292"
1487,"301"
1488,"285"
1489,"257"
1490,"243"
1491,"300"
1492,"267"
1493,"268"
1494,"269"
1495,"251"
1496,"267"
1497,"315"
1498,"285"
1499,"283"
1500,"299"
1501,"248"
1502,"274"
1503,"278"
1504,"264"
1505,"228"
1506,"276"
1507,"272"
1508,"283"
1509,"275"
1510,"245"
1511,"235"
1512,"281"
1513,"272"
1514,"253"
1515,"222"
1516,"229"
1517,"269"
1518,"259"
1519,"283"
1520,"244"
1521,"230"
1522,"247"
1523,"224"
1524,"250"
1525,"248"
1526,"245"
1527,"240"
1528,"230"
1529,"240"
1530,"227"
1531,"243"
1532,"249"
1533,"225"
1534,"247"
1535,"274"
1536,"232"
1537,"247"
1538,"236"
1539,"266"
1540,"201"
1541,"250"
1542,"229"
1543,"225"
1544,"219"
1545,"223"
1546,"197"
1547,"214"
1548,"217"
1549,"223"
1550,"236"
1551,"202"
1552,"219"
1553,"205"
1554,"225"
1555,"201"
1556,"209"
1557,"198"
1558,"180"
1559,"205"
1560,"185"
1561,"208"
1562,"209"
1563,"228"
1564,"204"
1565,"216"
1566,"186"
1567,"188"
1568,"195"
1569,"202"
1570,"194"
1571,"227"
1572,"193"
1573,"198"
1574,"219"
1575,"167"
1576,"206"
1577,"184"
1578,"199"
1579,"192"
1580,"172"
1581,"215"
1582,"187"
1583,"188"
1584,"194"
1585,"165"
1586,"206"
1587,"179"
1588,"174"
1589,"178"
1590,"167"
1591,"172"
1592,"194"
1593,"184"
1594,"167"
1595,"188"
1596,"178"
1597,"176"
1598,"170"
1599,"181"
1600,"163"
1601,"193"
1602,"175"
1603,"172"
1604,"179"
1605,"195"
1606,"173"
1607,"165"
1608,"153"
1609,"158"
1610,"166"
1611,"164"
1612,"171"
1613,"155"
1614,"174"
1615,"147"
1616,"183"
1617,"169"
1618,"155"
1619,"154"
1620,"167"
1621,"162"
1622,"137"
1623,"138"
1624,"154"
1625,"153"
1626,"150"
1627,"169"
1628,"146"
1629,"142"
1630,"129"
1631,"151"
1632,"166"
1633,"132"
1634,"138"
1635,"160"
1636,"126"
1637,"121"
1638,"124"
1639,"136"
1640,"126"
1641,"111"
1642,"109"
1643,"126"
1644,"151"
1645,"121"
1646,"128"
1647,"132"
1648,"114"
1649,"119"
1650,"126"
1651,"117"
1652,"125"
1653,"115"
1654,"106"
1655,"117"
1656,"128"
1657,"120"
1658,"117"
1659,"105"
1660,"113"
1661,"111"
1662,"97"
1663,"99"
1664,"101"
1665,"109"
1666,"99"
1667,"103"
1668,"111"
1669,"106"
1670,"113"
1671,"102"
1672,"106"
1673,"87"
1674,"94"
1675,"84"
1676,"98"
1677,"114"
1678,"91"
1679,"99"
1680,"96"
1681,"103"
1682,"83"
1683,"93"
1684,"101"
1685,"106"
1686,"78"
1687,"80"
1688,"80"
1689,"89"
1690,"99"
1691,"82"
1692,"88"
1693,"86"
1694,"78"
1695,"85"
1696,"78"
1697,"63"
1698,"78"
1699,"86"
1700,"77"
1701,"84"
1702,"76"
1703,"73"
1704,"80"
1705,"57"
1706,"75"
1707,"79"
1708,"55"
1709,"70"
1710,"56"
1711,"73"
1712,"74"
1713,"60"
1714,"66"
1715,"68"
1716,"70"
1717,"58"
1718,"55"
1719,"53"
1720,"73"
1721,"64"
1722,"43"
1723,"68"
1724,"57"
1725,"56"
1726,"52"
1727,"54"
1728,"59"
1729,"51"
1730,"59"
1731,"58"
1732,"50"
1733,"50"
1734,"61"
1735,"62"
1736,"56"
1737,"43"
1738,"41"
1739,"37"
1740,"50"
1741,"42"
1742,"45"
1743,"41"
1744,"46"
1745,"29"
1746,"35"
1747,"35"
1748,"46"
1749,"44"
1750,"42"
1751,"33"
1752,"39"
1753,"35"
1754,"45"
1755,"33"
1756,"30"
1757,"29"
1758,"28"
1759,"48"
1760,"27"
1761,"31"
1762,"43"
1763,"19"
1764,"25"
1765,"22"
1766,"23"
1767,"20"
1768,"24"
1769,"26"
1770,"23"
1771,"25"
1772,"22"
1773,"22"
1774,"17"
1775,"23"
1776,"18"
1777,"16"
1778,"17"
1779,"17"
1780,"20"
1781,"23"
1782,"25"
1783,"16"
1784,"15"
1785,"18"
1786,"16"
1787,"11"
1788,"10"
1789,"12"
1790,"12"
1791,"13"
1792,"12"
1793,"6"
1794,"15"
1795,"18"
1796,"8"
1797,"14"
1798,"17"
1799,"8"
1800,"19"
1801,"8"
1802,"9"
1803,"10"
1804,"5"
1805,"9"
1806,"12"
1807,"7"
1808,"10"
1809,"8"
1810,"10"
1811,"13"
1812,"9"
1813,"8"
1814,"8"
1815,"12"
1816,"5"
1817,"11"
1818,"14"
1819,"4"
1820,"4"
1821,"5"
1822,"3"
1823,"11"
1824,"4"
1825,"6"
1826,"9"
1827,"10"
1828,"9"
1829,"6"
1830,"7"
1831,"7"
1832,"4"
1833,"5"
1834,"6"
1835,"6"
1836,"5"
1837,"6"
1838,"6"
1839,"4"
1840,"11"
1841,"6"
1842,"9"
1843,"8"
1844,"10"
1845,"5"
1846,"2"
1847,"5"
1848,"4"
1849,"4"
1850,"4"
1851,"1"
1852,"6"
1853,"5"
1854,"4"
1855,"1"
1856,"4"
1857,"5"
1858,"4"
1859,"5"
1860,"1"
1861,"4"
1862,"4"
1863,"7"
1864,"9"
1865,"1"
1866,"3"
1867,"2"
1868,"6"
1869,"1"
1870,"1"
1871,"1"
1872,"4"
1873,"2"
1874,"6"
1875,"3"
1876,"3"
1877,"2"
1878,"0"
1879,"4"
1880,"7"
1881,"4"
1882,"4"
1883,"3"
1884,"2"
1885,"2"
1886,"4"
1887,"0"
1888,"2"
1889,"3"
1890,"2"
1891,"3"
1892,"4"
1893,"2"
1894,"2"
1895,"0"
1896,"3"
1897,"2"
1898,"4"
1899,"3"
1900,"2"
1901,"2"
1902,"5"
1903,"1"
1904,"4"
1905,"1"
1906,"1"
1907,"0"
1908,"1"
1909,"0"
1910,"1"
1911,"1"
1912,"1"
1913,"2"
1914,"2"
1915,"0"
1916,"2"
1917,"0"
1918,"2"
1919,"2"
1920,"1"
1921,"2"
1922,"2"
1923,"0"
1924,"1"
1925,"2"
1926,"3"
1927,"4"
1928,"1"
1929,"2"
1930,"0"
1931,"2"
1932,"1"
1933,"2"
1934,"2"
1935,"2"
1936,"0"
1937,"2"
1938,"1"
1939,"1"
1940,"1"
1941,"1"
1942,"0"
1943,"5"
1944,"2"
1945,"2"
1946,"4"
1947,"2"
1948,"2"
1949,"2"
1950,"0"
1951,"2"
1952,"0"
1953,"3"
1954,"0"
1955,"3"
1956,"1"
1957,"0"
1958,"2"
1959,"2"
1960,"0"
1961,"0"
1962,"0"
1963,"0"
1964,"0"
1965,"0"
1966,"2"
1967,"0"
1968,"2"
1969,"1"
1970,"0"
1971,"2"
1972,"1"
1973,"0"
1974,"1"
1975,"0"
1976,"1"
1977,"1"
1978,"1"
1979,"0"
1980,"0"
1981,"1"
1982,"3"
1983,"0"
1984,"0"
1985,"1"
1986,"1"
1987,"1"
1988,"0"
1989,"0"
1990,"1"
1991,"0"
1992,"0"
1993,"0"
1994,"1"
1995,"0"
1996,"0"
1997,"0"
1998,"0"
1999,"1"
2000,"0"
2001,"2"
2002,"2"
2003,"1"
2004,"1"
2005,"0"
2006,"0"
2007,"1"
2008,"1"
2009,"0"
2010,"2"
2011,"0"
2012,"0"
2013,"0"
2014,"0"
2015,"2"
2016,"2"
2017,"1"
2018,"0"
2019,"0"
2020,"1"
2021,"0"
2022,"1"
2023,"0"
2024,"0"
2025,"1"
2026,"0"
2027,"0"
2028,"0"
2029,"1"
2030,"0"
2031,"0"
2032,"1"
2033,"1"
2034,"0"
2035,"0"
2036,"0"
2037,"1"
2038,"1"
2039,"0"
2040,"0"
2041,"0"
2042,"0"
2043,"1"
2044,"3"
2045,"0"
2046,"1"
2047,"0"


