Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS40LEP-81-IVSD-TR"
218,"22"
219,"36"
220,"48"
221,"44"
222,"57"
223,"56"
224,"95"
225,"107"
226,"134"
227,"145"
228,"166"
229,"154"
230,"126"
231,"83"
232,"76"
233,"57"
234,"65"
235,"59"
236,"28"
237,"41"
238,"44"
239,"36"
240,"33"
241,"21"
242,"50"
243,"29"
244,"40"
245,"48"
246,"36"
247,"51"
248,"64"
249,"67"
250,"61"
251,"59"
252,"44"
253,"48"
254,"41"
255,"44"
256,"24"
257,"26"
258,"21"
259,"33"
260,"29"
261,"25"
262,"28"
263,"32"
264,"28"
265,"20"
266,"35"
267,"40"
268,"26"
269,"43"
270,"35"
271,"33"
272,"38"
273,"45"
274,"50"
275,"45"
276,"38"
277,"31"
278,"45"
279,"20"
280,"27"
281,"26"
282,"28"
283,"27"
284,"21"
285,"31"
286,"38"
287,"38"
288,"26"
289,"30"
290,"32"
291,"39"
292,"47"
293,"48"
294,"42"
295,"35"
296,"35"
297,"55"
298,"53"
299,"53"
300,"64"
301,"57"
302,"38"
303,"34"
304,"38"
305,"46"
306,"41"
307,"39"
308,"33"
309,"46"
310,"49"
311,"57"
312,"60"
313,"105"
314,"178"
315,"310"
316,"575"
317,"992"
318,"1540"
319,"2346"
320,"3197"
321,"4020"
322,"4597"
323,"4571"
324,"4287"
325,"3648"
326,"2778"
327,"1957"
328,"1283"
329,"769"
330,"421"
331,"193"
332,"126"
333,"59"
334,"54"
335,"36"
336,"24"
337,"32"
338,"29"
339,"34"
340,"44"
341,"39"
342,"38"
343,"39"
344,"41"
345,"41"
346,"56"
347,"77"
348,"97"
349,"158"
350,"203"
351,"315"
352,"446"
353,"533"
354,"685"
355,"793"
356,"738"
357,"734"
358,"638"
359,"521"
360,"374"
361,"264"
362,"176"
363,"114"
364,"65"
365,"46"
366,"31"
367,"23"
368,"27"
369,"30"
370,"32"
371,"38"
372,"39"
373,"58"
374,"49"
375,"53"
376,"69"
377,"76"
378,"74"
379,"63"
380,"48"
381,"41"
382,"39"
383,"31"
384,"26"
385,"20"
386,"22"
387,"16"
388,"23"
389,"9"
390,"17"
391,"28"
392,"22"
393,"12"
394,"21"
395,"16"
396,"14"
397,"17"
398,"27"
399,"29"
400,"39"
401,"73"
402,"75"
403,"99"
404,"97"
405,"105"
406,"112"
407,"96"
408,"91"
409,"82"
410,"62"
411,"57"
412,"38"
413,"36"
414,"30"
415,"26"
416,"19"
417,"25"
418,"34"
419,"37"
420,"28"
421,"25"
422,"25"
423,"25"
424,"17"
425,"27"
426,"22"
427,"39"
428,"43"
429,"32"
430,"77"
431,"89"
432,"121"
433,"143"
434,"141"
435,"167"
436,"191"
437,"163"
438,"135"
439,"106"
440,"85"
441,"61"
442,"55"
443,"43"
444,"50"
445,"29"
446,"36"
447,"33"
448,"33"
449,"51"
450,"30"
451,"46"
452,"25"
453,"27"
454,"33"
455,"32"
456,"30"
457,"26"
458,"32"
459,"27"
460,"30"
461,"33"
462,"31"
463,"35"
464,"37"
465,"44"
466,"39"
467,"44"
468,"51"
469,"45"
470,"42"
471,"29"
472,"45"
473,"35"
474,"33"
475,"40"
476,"33"
477,"41"
478,"47"
479,"23"
480,"52"
481,"52"
482,"46"
483,"54"
484,"49"
485,"56"
486,"52"
487,"48"
488,"47"
489,"47"
490,"39"
491,"37"
492,"29"
493,"25"
494,"31"
495,"34"
496,"41"
497,"36"
498,"29"
499,"50"
500,"37"
501,"39"
502,"37"
503,"39"
504,"32"
505,"41"
506,"42"
507,"40"
508,"37"
509,"53"
510,"48"
511,"46"
512,"49"
513,"49"
514,"55"
515,"55"
516,"33"
517,"49"
518,"46"
519,"66"
520,"61"
521,"54"
522,"46"
523,"58"
524,"64"
525,"71"
526,"71"
527,"78"
528,"81"
529,"78"
530,"106"
531,"89"
532,"111"
533,"115"
534,"77"
535,"69"
536,"86"
537,"70"
538,"75"
539,"85"
540,"61"
541,"54"
542,"57"
543,"74"
544,"79"
545,"75"
546,"76"
547,"60"
548,"63"
549,"61"
550,"61"
551,"64"
552,"73"
553,"95"
554,"89"
555,"75"
556,"86"
557,"92"
558,"81"
559,"82"
560,"82"
561,"75"
562,"107"
563,"117"
564,"93"
565,"102"
566,"105"
567,"128"
568,"90"
569,"97"
570,"100"
571,"78"
572,"105"
573,"105"
574,"81"
575,"93"
576,"102"
577,"109"
578,"100"
579,"108"
580,"114"
581,"102"
582,"121"
583,"96"
584,"100"
585,"94"
586,"102"
587,"135"
588,"113"
589,"133"
590,"127"
591,"128"
592,"129"
593,"119"
594,"124"
595,"124"
596,"141"
597,"143"
598,"139"
599,"136"
600,"139"
601,"130"
602,"132"
603,"126"
604,"116"
605,"131"
606,"140"
607,"124"
608,"135"
609,"124"
610,"136"
611,"136"
612,"133"
613,"145"
614,"129"
615,"140"
616,"163"
617,"150"
618,"165"
619,"160"
620,"139"
621,"155"
622,"168"
623,"173"
624,"181"
625,"163"
626,"149"
627,"159"
628,"175"
629,"203"
630,"163"
631,"167"
632,"169"
633,"165"
634,"181"
635,"193"
636,"173"
637,"178"
638,"191"
639,"175"
640,"183"
641,"176"
642,"208"
643,"191"
644,"189"
645,"206"
646,"192"
647,"190"
648,"203"
649,"209"
650,"166"
651,"199"
652,"187"
653,"193"
654,"210"
655,"191"
656,"226"
657,"218"
658,"215"
659,"233"
660,"217"
661,"188"
662,"203"
663,"215"
664,"249"
665,"208"
666,"209"
667,"264"
668,"272"
669,"249"
670,"300"
671,"334"
672,"285"
673,"391"
674,"361"
675,"382"
676,"367"
677,"325"
678,"346"
679,"352"
680,"290"
681,"294"
682,"266"
683,"247"
684,"286"
685,"255"
686,"280"
687,"253"
688,"280"
689,"232"
690,"243"
691,"254"
692,"266"
693,"272"
694,"242"
695,"256"
696,"249"
697,"256"
698,"271"
699,"290"
700,"342"
701,"331"
702,"402"
703,"483"
704,"553"
705,"757"
706,"913"
707,"1170"
708,"1443"
709,"1630"
710,"1878"
711,"2305"
712,"2358"
713,"2390"
714,"2449"
715,"2315"
716,"2150"
717,"1888"
718,"1603"
719,"1357"
720,"1083"
721,"861"
722,"698"
723,"523"
724,"412"
725,"369"
726,"392"
727,"319"
728,"346"
729,"293"
730,"276"
731,"304"
732,"329"
733,"299"
734,"269"
735,"308"
736,"337"
737,"256"
738,"291"
739,"276"
740,"319"
741,"296"
742,"299"
743,"310"
744,"323"
745,"341"
746,"308"
747,"307"
748,"363"
749,"360"
750,"373"
751,"395"
752,"371"
753,"412"
754,"401"
755,"398"
756,"332"
757,"362"
758,"351"
759,"348"
760,"351"
761,"350"
762,"328"
763,"328"
764,"342"
765,"350"
766,"327"
767,"363"
768,"319"
769,"330"
770,"316"
771,"360"
772,"370"
773,"329"
774,"341"
775,"318"
776,"339"
777,"340"
778,"334"
779,"334"
780,"350"
781,"353"
782,"380"
783,"398"
784,"370"
785,"376"
786,"409"
787,"422"
788,"473"
789,"528"
790,"585"
791,"597"
792,"701"
793,"781"
794,"835"
795,"857"
796,"889"
797,"923"
798,"926"
799,"845"
800,"806"
801,"790"
802,"737"
803,"653"
804,"623"
805,"546"
806,"522"
807,"457"
808,"434"
809,"439"
810,"431"
811,"451"
812,"406"
813,"409"
814,"416"
815,"437"
816,"358"
817,"385"
818,"387"
819,"392"
820,"378"
821,"383"
822,"406"
823,"362"
824,"353"
825,"361"
826,"371"
827,"374"
828,"349"
829,"386"
830,"399"
831,"362"
832,"430"
833,"414"
834,"373"
835,"406"
836,"352"
837,"442"
838,"395"
839,"409"
840,"390"
841,"427"
842,"462"
843,"427"
844,"421"
845,"404"
846,"396"
847,"398"
848,"442"
849,"364"
850,"391"
851,"368"
852,"408"
853,"429"
854,"375"
855,"377"
856,"391"
857,"397"
858,"415"
859,"363"
860,"377"
861,"401"
862,"419"
863,"404"
864,"436"
865,"413"
866,"412"
867,"453"
868,"396"
869,"417"
870,"485"
871,"447"
872,"520"
873,"501"
874,"522"
875,"570"
876,"588"
877,"552"
878,"565"
879,"644"
880,"598"
881,"604"
882,"635"
883,"597"
884,"576"
885,"562"
886,"568"
887,"562"
888,"511"
889,"529"
890,"521"
891,"521"
892,"459"
893,"487"
894,"469"
895,"501"
896,"460"
897,"473"
898,"462"
899,"479"
900,"505"
901,"494"
902,"496"
903,"477"
904,"478"
905,"476"
906,"467"
907,"502"
908,"489"
909,"507"
910,"523"
911,"518"
912,"518"
913,"518"
914,"498"
915,"549"
916,"556"
917,"553"
918,"534"
919,"523"
920,"572"
921,"586"
922,"590"
923,"587"
924,"584"
925,"603"
926,"656"
927,"637"
928,"698"
929,"653"
930,"696"
931,"699"
932,"734"
933,"764"
934,"760"
935,"795"
936,"815"
937,"874"
938,"873"
939,"900"
940,"1035"
941,"1027"
942,"1104"
943,"1123"
944,"1236"
945,"1189"
946,"1335"
947,"1283"
948,"1344"
949,"1454"
950,"1481"
951,"1498"
952,"1598"
953,"1638"
954,"1695"
955,"1719"
956,"1646"
957,"1724"
958,"1775"
959,"1736"
960,"1718"
961,"1749"
962,"1681"
963,"1731"
964,"1657"
965,"1640"
966,"1690"
967,"1592"
968,"1536"
969,"1506"
970,"1483"
971,"1418"
972,"1281"
973,"1291"
974,"1249"
975,"1167"
976,"1097"
977,"1053"
978,"979"
979,"1023"
980,"958"
981,"877"
982,"910"
983,"828"
984,"828"
985,"771"
986,"704"
987,"770"
988,"750"
989,"667"
990,"670"
991,"651"
992,"621"
993,"603"
994,"609"
995,"614"
996,"543"
997,"576"
998,"503"
999,"536"
1000,"527"
1001,"561"
1002,"550"
1003,"568"
1004,"626"
1005,"652"
1006,"683"
1007,"756"
1008,"795"
1009,"958"
1010,"993"
1011,"1032"
1012,"1194"
1013,"1265"
1014,"1363"
1015,"1378"
1016,"1386"
1017,"1412"
1018,"1453"
1019,"1529"
1020,"1424"
1021,"1399"
1022,"1226"
1023,"1150"
1024,"1079"
1025,"902"
1026,"830"
1027,"753"
1028,"679"
1029,"610"
1030,"574"
1031,"480"
1032,"482"
1033,"475"
1034,"425"
1035,"457"
1036,"414"
1037,"491"
1038,"445"
1039,"479"
1040,"447"
1041,"495"
1042,"472"
1043,"474"
1044,"470"
1045,"463"
1046,"461"
1047,"495"
1048,"532"
1049,"477"
1050,"525"
1051,"563"
1052,"612"
1053,"543"
1054,"699"
1055,"646"
1056,"692"
1057,"768"
1058,"802"
1059,"838"
1060,"885"
1061,"972"
1062,"973"
1063,"962"
1064,"1025"
1065,"1050"
1066,"1077"
1067,"1099"
1068,"1027"
1069,"1072"
1070,"1013"
1071,"995"
1072,"995"
1073,"954"
1074,"899"
1075,"836"
1076,"800"
1077,"750"
1078,"713"
1079,"647"
1080,"674"
1081,"699"
1082,"610"
1083,"636"
1084,"651"
1085,"633"
1086,"634"
1087,"623"
1088,"592"
1089,"544"
1090,"585"
1091,"549"
1092,"548"
1093,"529"
1094,"513"
1095,"531"
1096,"527"
1097,"499"
1098,"489"
1099,"496"
1100,"498"
1101,"471"
1102,"436"
1103,"459"
1104,"470"
1105,"458"
1106,"447"
1107,"431"
1108,"428"
1109,"450"
1110,"423"
1111,"420"
1112,"432"
1113,"403"
1114,"430"
1115,"432"
1116,"366"
1117,"415"
1118,"413"
1119,"400"
1120,"412"
1121,"367"
1122,"399"
1123,"411"
1124,"382"
1125,"378"
1126,"411"
1127,"392"
1128,"375"
1129,"370"
1130,"373"
1131,"363"
1132,"370"
1133,"392"
1134,"388"
1135,"423"
1136,"418"
1137,"426"
1138,"462"
1139,"440"
1140,"473"
1141,"473"
1142,"496"
1143,"505"
1144,"552"
1145,"486"
1146,"526"
1147,"531"
1148,"529"
1149,"503"
1150,"486"
1151,"445"
1152,"462"
1153,"421"
1154,"421"
1155,"408"
1156,"374"
1157,"378"
1158,"369"
1159,"332"
1160,"361"
1161,"346"
1162,"353"
1163,"386"
1164,"382"
1165,"367"
1166,"404"
1167,"353"
1168,"343"
1169,"365"
1170,"368"
1171,"379"
1172,"407"
1173,"368"
1174,"363"
1175,"369"
1176,"355"
1177,"337"
1178,"352"
1179,"366"
1180,"348"
1181,"328"
1182,"322"
1183,"361"
1184,"313"
1185,"345"
1186,"356"
1187,"346"
1188,"319"
1189,"312"
1190,"356"
1191,"362"
1192,"366"
1193,"370"
1194,"368"
1195,"386"
1196,"388"
1197,"383"
1198,"389"
1199,"372"
1200,"425"
1201,"410"
1202,"416"
1203,"416"
1204,"401"
1205,"367"
1206,"361"
1207,"355"
1208,"355"
1209,"371"
1210,"361"
1211,"346"
1212,"343"
1213,"323"
1214,"344"
1215,"315"
1216,"335"
1217,"331"
1218,"329"
1219,"328"
1220,"306"
1221,"326"
1222,"342"
1223,"328"
1224,"335"
1225,"356"
1226,"339"
1227,"291"
1228,"307"
1229,"325"
1230,"337"
1231,"336"
1232,"327"
1233,"322"
1234,"290"
1235,"322"
1236,"306"
1237,"302"
1238,"342"
1239,"340"
1240,"328"
1241,"312"
1242,"328"
1243,"308"
1244,"303"
1245,"310"
1246,"341"
1247,"306"
1248,"294"
1249,"303"
1250,"298"
1251,"299"
1252,"291"
1253,"313"
1254,"314"
1255,"331"
1256,"317"
1257,"291"
1258,"290"
1259,"320"
1260,"313"
1261,"309"
1262,"303"
1263,"289"
1264,"300"
1265,"273"
1266,"315"
1267,"291"
1268,"316"
1269,"295"
1270,"267"
1271,"314"
1272,"303"
1273,"303"
1274,"325"
1275,"339"
1276,"326"
1277,"330"
1278,"318"
1279,"326"
1280,"288"
1281,"306"
1282,"325"
1283,"304"
1284,"301"
1285,"304"
1286,"294"
1287,"285"
1288,"252"
1289,"298"
1290,"296"
1291,"285"
1292,"305"
1293,"292"
1294,"320"
1295,"303"
1296,"295"
1297,"271"
1298,"293"
1299,"265"
1300,"250"
1301,"300"
1302,"298"
1303,"285"
1304,"305"
1305,"305"
1306,"292"
1307,"282"
1308,"280"
1309,"319"
1310,"295"
1311,"287"
1312,"286"
1313,"261"
1314,"294"
1315,"288"
1316,"263"
1317,"283"
1318,"263"
1319,"269"
1320,"268"
1321,"262"
1322,"274"
1323,"280"
1324,"272"
1325,"275"
1326,"276"
1327,"284"
1328,"280"
1329,"254"
1330,"278"
1331,"289"
1332,"277"
1333,"287"
1334,"281"
1335,"261"
1336,"276"
1337,"300"
1338,"285"
1339,"237"
1340,"287"
1341,"292"
1342,"297"
1343,"282"
1344,"243"
1345,"289"
1346,"300"
1347,"273"
1348,"245"
1349,"270"
1350,"302"
1351,"237"
1352,"252"
1353,"277"
1354,"285"
1355,"258"
1356,"263"
1357,"260"
1358,"277"
1359,"257"
1360,"297"
1361,"239"
1362,"233"
1363,"249"
1364,"229"
1365,"269"
1366,"225"
1367,"237"
1368,"279"
1369,"277"
1370,"258"
1371,"245"
1372,"259"
1373,"242"
1374,"241"
1375,"239"
1376,"271"
1377,"255"
1378,"231"
1379,"258"
1380,"220"
1381,"245"
1382,"252"
1383,"254"
1384,"251"
1385,"243"
1386,"240"
1387,"220"
1388,"245"
1389,"253"
1390,"274"
1391,"258"
1392,"233"
1393,"247"
1394,"272"
1395,"252"
1396,"272"
1397,"237"
1398,"270"
1399,"246"
1400,"243"
1401,"255"
1402,"243"
1403,"242"
1404,"242"
1405,"247"
1406,"236"
1407,"272"
1408,"236"
1409,"254"
1410,"207"
1411,"228"
1412,"218"
1413,"230"
1414,"219"
1415,"240"
1416,"243"
1417,"256"
1418,"224"
1419,"253"
1420,"229"
1421,"258"
1422,"223"
1423,"228"
1424,"206"
1425,"244"
1426,"218"
1427,"213"
1428,"233"
1429,"231"
1430,"237"
1431,"244"
1432,"253"
1433,"223"
1434,"222"
1435,"224"
1436,"204"
1437,"222"
1438,"237"
1439,"221"
1440,"218"
1441,"250"
1442,"210"
1443,"223"
1444,"235"
1445,"219"
1446,"234"
1447,"226"
1448,"231"
1449,"218"
1450,"235"
1451,"233"
1452,"212"
1453,"188"
1454,"205"
1455,"218"
1456,"222"
1457,"220"
1458,"205"
1459,"200"
1460,"215"
1461,"214"
1462,"218"
1463,"200"
1464,"205"
1465,"196"
1466,"209"
1467,"192"
1468,"229"
1469,"201"
1470,"190"
1471,"210"
1472,"197"
1473,"215"
1474,"203"
1475,"199"
1476,"179"
1477,"220"
1478,"212"
1479,"207"
1480,"203"
1481,"197"
1482,"182"
1483,"200"
1484,"190"
1485,"216"
1486,"207"
1487,"206"
1488,"211"
1489,"201"
1490,"199"
1491,"192"
1492,"179"
1493,"214"
1494,"182"
1495,"175"
1496,"193"
1497,"183"
1498,"202"
1499,"172"
1500,"170"
1501,"211"
1502,"205"
1503,"187"
1504,"213"
1505,"207"
1506,"177"
1507,"152"
1508,"182"
1509,"171"
1510,"187"
1511,"175"
1512,"176"
1513,"195"
1514,"172"
1515,"184"
1516,"170"
1517,"173"
1518,"168"
1519,"204"
1520,"174"
1521,"184"
1522,"176"
1523,"159"
1524,"162"
1525,"162"
1526,"176"
1527,"157"
1528,"194"
1529,"185"
1530,"173"
1531,"186"
1532,"169"
1533,"174"
1534,"187"
1535,"158"
1536,"172"
1537,"166"
1538,"176"
1539,"154"
1540,"166"
1541,"156"
1542,"181"
1543,"175"
1544,"156"
1545,"157"
1546,"191"
1547,"173"
1548,"176"
1549,"161"
1550,"135"
1551,"142"
1552,"177"
1553,"168"
1554,"163"
1555,"176"
1556,"178"
1557,"152"
1558,"174"
1559,"148"
1560,"158"
1561,"153"
1562,"137"
1563,"144"
1564,"161"
1565,"168"
1566,"156"
1567,"147"
1568,"147"
1569,"145"
1570,"143"
1571,"153"
1572,"143"
1573,"150"
1574,"140"
1575,"128"
1576,"140"
1577,"141"
1578,"151"
1579,"152"
1580,"133"
1581,"134"
1582,"140"
1583,"154"
1584,"135"
1585,"155"
1586,"144"
1587,"138"
1588,"134"
1589,"127"
1590,"152"
1591,"127"
1592,"124"
1593,"136"
1594,"133"
1595,"142"
1596,"136"
1597,"123"
1598,"125"
1599,"119"
1600,"133"
1601,"127"
1602,"125"
1603,"166"
1604,"132"
1605,"127"
1606,"119"
1607,"139"
1608,"147"
1609,"118"
1610,"122"
1611,"109"
1612,"113"
1613,"110"
1614,"124"
1615,"141"
1616,"120"
1617,"112"
1618,"110"
1619,"135"
1620,"147"
1621,"104"
1622,"110"
1623,"116"
1624,"107"
1625,"115"
1626,"122"
1627,"116"
1628,"113"
1629,"107"
1630,"123"
1631,"100"
1632,"98"
1633,"105"
1634,"111"
1635,"94"
1636,"102"
1637,"95"
1638,"115"
1639,"106"
1640,"125"
1641,"102"
1642,"90"
1643,"87"
1644,"90"
1645,"105"
1646,"94"
1647,"94"
1648,"91"
1649,"109"
1650,"97"
1651,"97"
1652,"106"
1653,"89"
1654,"95"
1655,"94"
1656,"97"
1657,"98"
1658,"103"
1659,"113"
1660,"86"
1661,"91"
1662,"91"
1663,"105"
1664,"97"
1665,"108"
1666,"76"
1667,"107"
1668,"83"
1669,"86"
1670,"88"
1671,"91"
1672,"90"
1673,"75"
1674,"95"
1675,"89"
1676,"75"
1677,"73"
1678,"80"
1679,"86"
1680,"92"
1681,"60"
1682,"76"
1683,"71"
1684,"82"
1685,"78"
1686,"69"
1687,"73"
1688,"76"
1689,"83"
1690,"66"
1691,"85"
1692,"70"
1693,"72"
1694,"58"
1695,"80"
1696,"65"
1697,"87"
1698,"83"
1699,"64"
1700,"76"
1701,"68"
1702,"62"
1703,"67"
1704,"61"
1705,"62"
1706,"55"
1707,"64"
1708,"62"
1709,"49"
1710,"53"
1711,"58"
1712,"56"
1713,"55"
1714,"59"
1715,"63"
1716,"55"
1717,"48"
1718,"59"
1719,"39"
1720,"59"
1721,"61"
1722,"35"
1723,"53"
1724,"50"
1725,"53"
1726,"38"
1727,"45"
1728,"48"
1729,"39"
1730,"41"
1731,"48"
1732,"47"
1733,"42"
1734,"45"
1735,"47"
1736,"49"
1737,"47"
1738,"36"
1739,"29"
1740,"40"
1741,"51"
1742,"41"
1743,"38"
1744,"35"
1745,"32"
1746,"33"
1747,"40"
1748,"24"
1749,"41"
1750,"36"
1751,"26"
1752,"34"
1753,"32"
1754,"29"
1755,"29"
1756,"34"
1757,"31"
1758,"26"
1759,"29"
1760,"34"
1761,"32"
1762,"26"
1763,"32"
1764,"27"
1765,"19"
1766,"20"
1767,"22"
1768,"25"
1769,"23"
1770,"21"
1771,"24"
1772,"22"
1773,"25"
1774,"25"
1775,"20"
1776,"21"
1777,"18"
1778,"23"
1779,"22"
1780,"22"
1781,"14"
1782,"22"
1783,"20"
1784,"25"
1785,"20"
1786,"16"
1787,"10"
1788,"18"
1789,"12"
1790,"19"
1791,"18"
1792,"15"
1793,"10"
1794,"19"
1795,"19"
1796,"12"
1797,"7"
1798,"10"
1799,"10"
1800,"11"
1801,"13"
1802,"12"
1803,"19"
1804,"3"
1805,"7"
1806,"11"
1807,"5"
1808,"12"
1809,"11"
1810,"10"
1811,"13"
1812,"9"
1813,"10"
1814,"12"
1815,"17"
1816,"6"
1817,"8"
1818,"12"
1819,"9"
1820,"5"
1821,"9"
1822,"10"
1823,"5"
1824,"5"
1825,"5"
1826,"8"
1827,"9"
1828,"12"
1829,"7"
1830,"6"
1831,"4"
1832,"8"
1833,"9"
1834,"8"
1835,"6"
1836,"3"
1837,"4"
1838,"5"
1839,"7"
1840,"5"
1841,"5"
1842,"4"
1843,"7"
1844,"9"
1845,"6"
1846,"4"
1847,"7"
1848,"1"
1849,"7"
1850,"5"
1851,"5"
1852,"3"
1853,"8"
1854,"3"
1855,"6"
1856,"8"
1857,"2"
1858,"6"
1859,"10"
1860,"9"
1861,"6"
1862,"5"
1863,"6"
1864,"3"
1865,"5"
1866,"5"
1867,"0"
1868,"7"
1869,"8"
1870,"6"
1871,"3"
1872,"5"
1873,"6"
1874,"2"
1875,"1"
1876,"3"
1877,"4"
1878,"5"
1879,"2"
1880,"3"
1881,"4"
1882,"4"
1883,"4"
1884,"2"
1885,"1"
1886,"5"
1887,"5"
1888,"3"
1889,"1"
1890,"4"
1891,"3"
1892,"6"
1893,"3"
1894,"2"
1895,"2"
1896,"5"
1897,"5"
1898,"3"
1899,"2"
1900,"1"
1901,"3"
1902,"6"
1903,"4"
1904,"5"
1905,"1"
1906,"1"
1907,"1"
1908,"1"
1909,"3"
1910,"2"
1911,"2"
1912,"1"
1913,"5"
1914,"2"
1915,"2"
1916,"1"
1917,"3"
1918,"3"
1919,"2"
1920,"3"
1921,"3"
1922,"2"
1923,"2"
1924,"1"
1925,"1"
1926,"0"
1927,"0"
1928,"4"
1929,"1"
1930,"6"
1931,"1"
1932,"0"
1933,"2"
1934,"1"
1935,"0"
1936,"1"
1937,"1"
1938,"1"
1939,"2"
1940,"0"
1941,"1"
1942,"0"
1943,"2"
1944,"1"
1945,"1"
1946,"2"
1947,"0"
1948,"1"
1949,"0"
1950,"1"
1951,"0"
1952,"2"
1953,"1"
1954,"1"
1955,"0"
1956,"2"
1957,"1"
1958,"2"
1959,"2"
1960,"1"
1961,"0"
1962,"1"
1963,"1"
1964,"2"
1965,"1"
1966,"1"
1967,"0"
1968,"4"
1969,"1"
1970,"0"
1971,"0"
1972,"2"
1973,"0"
1974,"1"
1975,"1"
1976,"1"
1977,"0"
1978,"0"
1979,"1"
1980,"0"
1981,"0"
1982,"1"
1983,"1"
1984,"0"
1985,"0"
1986,"0"
1987,"2"
1988,"0"
1989,"0"
1990,"0"
1991,"1"
1992,"0"
1993,"0"
1994,"0"
1995,"0"
1996,"0"
1997,"0"
1998,"0"
1999,"0"
2000,"1"
2001,"0"
2002,"0"
2003,"0"
2004,"1"
2005,"1"
2006,"0"
2007,"1"
2008,"0"
2009,"1"
2010,"1"
2011,"0"
2012,"1"
2013,"0"
2014,"1"
2015,"0"
2016,"0"
2017,"0"
2018,"1"
2019,"0"
2020,"0"
2021,"0"
2022,"0"
2023,"0"
2024,"0"
2025,"0"
2026,"1"
2027,"1"
2028,"0"
2029,"0"
2030,"0"
2031,"0"
2032,"0"
2033,"0"
2034,"1"
2035,"0"
2036,"0"
2037,"0"
2038,"0"
2039,"0"
2040,"1"
2041,"0"
2042,"0"
2043,"0"
2044,"0"
2045,"0"
2046,"0"
2047,"1"


