Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"66625301 a fancy deep brownish yellow 6.74ct"
Duration Time,283.951
Ambient Temperature,"103.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"6051121"
Raw Accumulated Counts,"6420772"
Valid Count Last Packet,"19671"
Raw Count Last Packet,"20783"
Live Time,268.441956
HV DAC,182
HV ADC,40.000000
Filament DAC,191
Filament ADC,12.100000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0609
Number of Channels,2048
Vacuum,658
Channel#,Intensity
884,"7237"
885,"7447"
886,"7426"
887,"7510"
888,"7506"
889,"7631"
890,"7755"
891,"7594"
892,"7787"
893,"7731"
894,"7856"
895,"8142"
896,"8101"
897,"8352"
898,"8506"
899,"8370"
900,"8558"
901,"8687"
902,"8840"
903,"9011"
904,"9119"
905,"9059"
906,"9356"
907,"9447"
908,"9587"
909,"9616"
910,"9763"
911,"10022"
912,"10237"
913,"10287"
914,"10583"
915,"10698"
916,"11051"
917,"11430"
918,"11413"
919,"11797"
920,"12492"
921,"12683"
922,"13038"
923,"13795"
924,"14323"
925,"14611"
926,"15570"
927,"16020"
928,"17155"
929,"17729"
930,"18967"
931,"19962"
932,"20733"
933,"21954"
934,"23006"
935,"23886"
936,"25174"
937,"26177"
938,"27235"
939,"27799"
940,"29192"
941,"30043"
942,"30825"
943,"30994"
944,"31812"
945,"32358"
946,"32578"
947,"33084"
948,"32748"
949,"32813"
950,"32396"
951,"32708"
952,"31882"
953,"31221"
954,"30313"
955,"29522"
956,"28781"
957,"27690"
958,"26292"
959,"25489"
960,"24436"
961,"23355"
962,"21832"
963,"20887"
964,"19911"
965,"19047"
966,"17991"
967,"17052"
968,"15934"
969,"15374"
970,"14562"
971,"13973"
972,"13285"
973,"12548"
974,"12180"
975,"11579"
976,"11492"
977,"11287"
978,"10836"
979,"10766"
980,"10361"
981,"10142"
982,"9991"
983,"9866"
984,"9570"
985,"9503"
986,"9089"
987,"9197"
988,"8951"
989,"9107"
990,"9079"
991,"9018"
992,"8843"
993,"9005"
994,"9028"
995,"9176"
996,"9402"
997,"9631"
998,"10138"
999,"10222"
1000,"10836"
1001,"11133"
1002,"11603"
1003,"11850"
1004,"12200"
1005,"12480"
1006,"12782"
1007,"12721"
1008,"12625"
1009,"12550"
1010,"12241"
1011,"11740"
1012,"11258"
1013,"10734"
1014,"10205"
1015,"9801"
1016,"9194"
1017,"8927"
1018,"8535"
1019,"8240"
1020,"8218"
1021,"7796"
1022,"7685"
1023,"7725"
1024,"7556"
1025,"7938"
1026,"7662"
1027,"7782"
1028,"7845"
1029,"7851"
1030,"7922"
1031,"8160"
1032,"8258"
1033,"8252"
1034,"8318"
1035,"8392"
1036,"8686"
1037,"8858"
1038,"8990"
1039,"9461"
1040,"9571"
1041,"9759"
1042,"10331"
1043,"10734"
1044,"11331"
1045,"11877"
1046,"12466"
1047,"13058"
1048,"13525"
1049,"14124"
1050,"14600"
1051,"15096"
1052,"15754"
1053,"16015"
1054,"16516"
1055,"16831"
1056,"16662"
1057,"16627"
1058,"16386"
1059,"16128"
1060,"15756"
1061,"15197"
1062,"14775"
1063,"14313"
1064,"13618"
1065,"13065"
1066,"12739"
1067,"12303"
1068,"11926"
1069,"11548"
1070,"11446"
1071,"10896"
1072,"10861"
1073,"10783"
1074,"10433"
1075,"10407"
1076,"9980"
1077,"9849"
1078,"9792"
1079,"9407"
1080,"9315"
1081,"9124"
1082,"9008"
1083,"8662"
1084,"8651"
1085,"8457"
1086,"8345"
1087,"8194"
1088,"7901"
1089,"7947"
1090,"8003"
1091,"7663"
1092,"7660"
1093,"7638"
1094,"7498"
1095,"7192"
1096,"7141"
1097,"7114"
1098,"7122"
1099,"7040"
1100,"7146"
1101,"6954"
1102,"6810"
1103,"6815"
1104,"6908"
1105,"6713"
1106,"6686"
1107,"6663"
1108,"6625"
1109,"6565"
1110,"6489"
1111,"6544"
1112,"6533"
1113,"6452"
1114,"6449"
1115,"6276"
1116,"6239"
1117,"6335"
1118,"6434"
1119,"6256"
1120,"6399"
1121,"6154"
1122,"6152"
1123,"6287"
1124,"6056"
1125,"6172"
1126,"6265"
1127,"6318"
1128,"6317"
1129,"6285"
1130,"6372"
1131,"6439"
1132,"6383"
1133,"6493"
1134,"6512"
1135,"6408"
1136,"6505"
1137,"6311"
1138,"6192"
1139,"6182"
1140,"6238"
1141,"6037"
1142,"6079"
1143,"6024"
1144,"5804"
1145,"5871"
1146,"5725"
1147,"5808"
1148,"5785"
1149,"5789"
1150,"5769"
1151,"5790"
1152,"5723"
1153,"5706"
1154,"5759"
1155,"5742"
1156,"5866"
1157,"5772"
1158,"5836"
1159,"5783"
1160,"5845"
1161,"5776"
1162,"5587"
1163,"5688"
1164,"5728"
1165,"5573"
1166,"5650"
1167,"5623"
1168,"5570"
1169,"5660"
1170,"5604"
1171,"5444"
1172,"5619"
1173,"5468"
1174,"5687"
1175,"5588"
1176,"5593"
1177,"5641"
1178,"5610"
1179,"5689"
1180,"5660"
1181,"5872"
1182,"5945"
1183,"6001"
1184,"6107"
1185,"6354"
1186,"6207"
1187,"6250"
1188,"6263"
1189,"6319"
1190,"6218"
1191,"6110"
1192,"6225"
1193,"6022"
1194,"5982"
1195,"5812"
1196,"5747"
1197,"5740"
1198,"5537"
1199,"5525"
1200,"5462"
1201,"5225"
1202,"5353"
1203,"5479"
1204,"5403"
1205,"5345"
1206,"5391"
1207,"5318"
1208,"5407"
1209,"5359"
1210,"5372"
1211,"5421"
1212,"5422"
1213,"5232"
1214,"5353"
1215,"5266"
1216,"5271"
1217,"5223"
1218,"5200"
1219,"5283"
1220,"5123"
1221,"5192"
1222,"5041"
1223,"5152"
1224,"5212"
1225,"5128"
1226,"5079"
1227,"5113"
1228,"5076"
1229,"5147"
1230,"4977"
1231,"5080"
1232,"5049"
1233,"4825"
1234,"4930"
1235,"4919"
1236,"4805"
1237,"4939"
1238,"4900"
1239,"4864"
1240,"4876"
1241,"4976"
1242,"4892"
1243,"4738"
1244,"4891"
1245,"4984"
1246,"4976"
1247,"4960"
1248,"4864"
1249,"4868"
1250,"5005"
1251,"4921"
1252,"4968"
1253,"5051"
1254,"5055"
1255,"4999"
1256,"4953"
1257,"4954"
1258,"5046"
1259,"4951"
1260,"4981"
1261,"5012"
1262,"4917"
1263,"4877"
1264,"4850"
1265,"4903"
1266,"4769"
1267,"4627"
1268,"4715"
1269,"4779"
1270,"4647"
1271,"4690"
1272,"4621"
1273,"4652"
1274,"4573"
1275,"4569"
1276,"4570"
1277,"4373"
1278,"4589"
1279,"4526"
1280,"4549"
1281,"4401"
1282,"4375"
1283,"4431"
1284,"4429"
1285,"4474"
1286,"4444"
1287,"4346"
1288,"4398"
1289,"4402"
1290,"4459"
1291,"4302"
1292,"4345"
1293,"4422"
1294,"4371"
1295,"4299"
1296,"4375"
1297,"4307"
1298,"4384"
1299,"4276"
1300,"4415"
1301,"4363"
1302,"4265"
1303,"4153"
1304,"4137"
1305,"4347"
1306,"4292"
1307,"4227"
1308,"4283"
1309,"4180"
1310,"4244"
1311,"4269"
1312,"4168"
1313,"4106"
1314,"4161"
1315,"4180"
1316,"4148"
1317,"4135"
1318,"4159"
1319,"4181"
1320,"4102"
1321,"4147"
1322,"4145"
1323,"4078"
1324,"4076"
1325,"4044"
1326,"4003"
1327,"4055"
1328,"4043"
1329,"3989"
1330,"3971"
1331,"4033"
1332,"3905"
1333,"3987"
1334,"3976"
1335,"3973"
1336,"3872"
1337,"3874"
1338,"3964"
1339,"3897"
1340,"3803"
1341,"4034"
1342,"3948"
1343,"3709"
1344,"3872"
1345,"3791"
1346,"3794"
1347,"3756"
1348,"3762"
1349,"3758"
1350,"3797"
1351,"3868"
1352,"3752"
1353,"3818"
1354,"3756"
1355,"3693"
1356,"3685"
1357,"3667"
1358,"3714"
1359,"3666"
1360,"3695"
1361,"3801"
1362,"3535"
1363,"3575"
1364,"3653"
1365,"3736"
1366,"3559"
1367,"3629"
1368,"3638"
1369,"3626"
1370,"3620"
1371,"3638"
1372,"3600"
1373,"3564"
1374,"3525"
1375,"3560"
1376,"3433"
1377,"3485"
1378,"3443"
1379,"3563"
1380,"3431"
1381,"3313"
1382,"3464"
1383,"3426"
1384,"3420"
1385,"3510"
1386,"3424"
1387,"3450"
1388,"3351"
1389,"3294"
1390,"3355"
1391,"3387"
1392,"3327"
1393,"3372"
1394,"3313"
1395,"3275"
1396,"3388"
1397,"3223"
1398,"3275"
1399,"3262"
1400,"3317"
1401,"3312"
1402,"3156"
1403,"3081"
1404,"3307"
1405,"3209"
1406,"3226"
1407,"3219"
1408,"3018"
1409,"3130"
1410,"3105"
1411,"3197"
1412,"3184"
1413,"3182"
1414,"3029"
1415,"3075"
1416,"3071"
1417,"3171"
1418,"3184"
1419,"3125"
1420,"3126"
1421,"3004"
1422,"3170"
1423,"3162"
1424,"3087"
1425,"2997"
1426,"3069"
1427,"2971"
1428,"3025"
1429,"2940"
1430,"3063"
1431,"2978"
1432,"2919"
1433,"2876"
1434,"2949"
1435,"2937"
1436,"2915"
1437,"2899"
1438,"2883"
1439,"2825"
1440,"2875"
1441,"2901"
1442,"2825"
1443,"2780"
1444,"2838"
1445,"2809"
1446,"2808"
1447,"2837"
1448,"2753"
1449,"2731"
1450,"2837"
1451,"2798"
1452,"2761"
1453,"2772"
1454,"2768"
1455,"2765"
1456,"2683"
1457,"2725"
1458,"2693"
1459,"2712"
1460,"2723"
1461,"2712"
1462,"2620"
1463,"2702"
1464,"2592"
1465,"2683"
1466,"2590"
1467,"2556"
1468,"2682"
1469,"2594"
1470,"2600"
1471,"2481"
1472,"2493"
1473,"2583"
1474,"2548"
1475,"2529"
1476,"2554"
1477,"2530"
1478,"2509"
1479,"2497"
1480,"2438"
1481,"2355"
1482,"2433"
1483,"2493"
1484,"2439"
1485,"2394"
1486,"2313"
1487,"2349"
1488,"2443"
1489,"2443"
1490,"2325"
1491,"2337"
1492,"2387"
1493,"2271"
1494,"2436"
1495,"2346"
1496,"2224"
1497,"2298"
1498,"2305"
1499,"2309"
1500,"2343"
1501,"2335"
1502,"2277"
1503,"2266"
1504,"2241"
1505,"2219"
1506,"2216"
1507,"2194"
1508,"2176"
1509,"2160"
1510,"2142"
1511,"2134"
1512,"2236"
1513,"2086"
1514,"2146"
1515,"2109"
1516,"2166"
1517,"2118"
1518,"2091"
1519,"2089"
1520,"2105"
1521,"2096"
1522,"2045"
1523,"2055"
1524,"1980"
1525,"2054"
1526,"1986"
1527,"2050"
1528,"1977"
1529,"2010"
1530,"2021"
1531,"2003"
1532,"1999"
1533,"2030"
1534,"2005"
1535,"1955"
1536,"1931"
1537,"1899"
1538,"1901"
1539,"1929"
1540,"1857"
1541,"1943"
1542,"1855"
1543,"1899"
1544,"1858"
1545,"1822"
1546,"1783"
1547,"1785"
1548,"1871"
1549,"1825"
1550,"1762"
1551,"1801"
1552,"1782"
1553,"1870"
1554,"1773"
1555,"1831"
1556,"1791"
1557,"1730"
1558,"1793"
1559,"1694"
1560,"1722"
1561,"1703"
1562,"1697"
1563,"1704"
1564,"1690"
1565,"1636"
1566,"1686"
1567,"1656"
1568,"1682"
1569,"1733"
1570,"1716"
1571,"1582"
1572,"1613"
1573,"1581"
1574,"1545"
1575,"1645"
1576,"1578"
1577,"1549"
1578,"1543"
1579,"1572"
1580,"1494"
1581,"1500"
1582,"1460"
1583,"1564"
1584,"1515"
1585,"1498"
1586,"1479"
1587,"1437"
1588,"1405"
1589,"1440"
1590,"1446"
1591,"1550"
1592,"1444"
1593,"1376"
1594,"1441"
1595,"1438"
1596,"1460"
1597,"1443"
1598,"1375"
1599,"1351"
1600,"1446"
1601,"1394"
1602,"1280"
1603,"1311"
1604,"1362"
1605,"1361"
1606,"1356"
1607,"1331"
1608,"1336"
1609,"1285"
1610,"1265"
1611,"1243"
1612,"1234"
1613,"1281"
1614,"1215"
1615,"1285"
1616,"1254"
1617,"1247"
1618,"1272"
1619,"1139"
1620,"1250"
1621,"1157"
1622,"1245"
1623,"1253"
1624,"1185"
1625,"1091"
1626,"1142"
1627,"1159"
1628,"1123"
1629,"1167"
1630,"1068"
1631,"1064"
1632,"1059"
1633,"1003"
1634,"1082"
1635,"1013"
1636,"1022"
1637,"1050"
1638,"1050"
1639,"990"
1640,"997"
1641,"1018"
1642,"991"
1643,"1029"
1644,"932"
1645,"922"
1646,"992"
1647,"976"
1648,"914"
1649,"912"
1650,"881"
1651,"908"
1652,"866"
1653,"916"
1654,"943"
1655,"890"
1656,"887"
1657,"866"
1658,"867"
1659,"876"
1660,"778"
1661,"826"
