Energy,CPS,Spectrum
2.6881606,3.04721367773076,blackdiamond
2.7082215,3.12916807982132,blackdiamond
2.7282824,3.1105420793462,blackdiamond
2.7483433,3.08074047858599,blackdiamond
2.7684042,3.06211447811087,blackdiamond
2.7884651,3.30425248428752,blackdiamond
2.808526,3.50913848951391,blackdiamond
2.8285869,3.6246196924597,blackdiamond
2.8486478,3.8742080988264,blackdiamond
2.8687087,3.64324569293483,blackdiamond
2.8887696,3.35268008552285,blackdiamond
2.9088305,3.29680208409747,blackdiamond
2.9288914,3.09191607887107,blackdiamond
2.9489523,3.13289327991635,blackdiamond
2.9690132,3.15896968058153,blackdiamond
2.9890741,3.25582488305219,blackdiamond
3.009135,3.1850460812467,blackdiamond
3.0291959,3.05093887782579,blackdiamond
3.0492568,2.91683167440488,blackdiamond
3.0693177,2.64861726756305,blackdiamond
