AtomicNumber,Symbol,ElementName,AtomicWeight,Ka1,Ka2,Kb1,Kb2,Kb3,La1,La2,Lb1,Lb2,Lb3,Lb4,Lg1,Lg2,Lg3,Ll,Ma1,Ma2,Mb,Mg
76.00,Os,Osmium,190.20,63.00,61.49,71.41,72.13,71.40,8.91,8.84,10.36,10.60,10.51,10.17,12.10,12.42,9.33,7.82,1.921,1.918,1.988,2.177
77.00,Ir,Iridium,192.22,64.90,63.29,73.56,74.10,73.59,9.18,9.10,10.71,10.92,10.87,10.51,12.51,12.84,9.65,8.04,1.988,1.983,2.062,2.255
78.00,Pt,Platinium,195.08,66.83,65.11,75.75,76.08,75.83,9.44,9.36,11.07,11.25,11.23,10.85,12.94,13.27,9.97,8.27,2.065,2.059,2.134,2.332
79.00,Au,Gold,196.96,68.80,66.99,77.98,78.06,78.12,9.71,9.63,11.44,11.58,11.61,11.20,13.38,13.71,10.31,8.49,2.142,2.133,2.220,2.404
80.00,Hg,Mercury,200.59,70.82,68.90,80.25,0.00,0.00,9.99,9.90,11.82,11.92,11.99,11.56,13.83,14.16,10.65,8.72,2.195,2.184,2.285,2.485
81.00,Tl,Thallium,204.38,72.87,70.83,82.58,0.00,0.00,10.27,10.17,12.21,12.27,12.39,11.93,14.29,14.62,10.99,8.95,2.270,2.266,2.360,2.569
82.00,Pb,Lead,207.20,74.97,72.80,84.94,0.00,0.00,10.55,10.45,12.61,12.62,12.79,12.31,14.76,15.09,11.35,9.19,2.345,2.340,2.442,2.658
83.00,Bi,Bismuth,208.98,77.11,74.81,87.34,0.00,0.00,10.84,10.73,13.02,12.98,13.21,12.69,15.25,15.58,11.71,9.42,2.422,2.426,2.534,2.745
84.00,Po,Polonium,209.00,79.29,76.86,89.80,0.00,0.00,11.13,11.02,13.45,13.34,13.63,13.08,15.74,16.07,12.09,9.66,2.501,2.503,2.620,2.842
85.00,At,Astatine,210.00,81.52,78.95,92.30,0.00,0.00,11.43,11.30,13.88,0.00,14.07,13.48,16.25,16.58,12.47,9.90,2.581,2.582,2.707,2.929
86.00,Rn,Radon,222.00,83.78,81.07,94.87,0.00,0.00,11.73,11.60,14.32,0.00,14.51,13.90,16.77,17.10,12.86,10.14,2.663,2.662,2.794,3.006
87.00,Fr,Francium,223.00,86.10,83.23,97.47,0.00,0.00,12.03,11.90,14.77,14.45,14.97,14.32,17.30,17.63,13.26,10.38,2.746,2.742,2.881,3.093
88.00,Ra,Radium,226.02,88.47,85.43,100.13,0.00,0.00,12.34,12.20,15.24,14.84,15.44,14.75,17.85,18.17,13.66,10.62,2.829,2.823,2.967,3.185
89.00,Ac,Actinium,227.02,90.88,87.67,102.85,0.00,0.00,12.65,12.50,15.71,0.00,15.93,15.19,18.41,18.73,14.08,10.87,2.913,2.904,3.054,3.265
90.00,Th,Thorium,232.03,93.35,89.95,105.61,0.00,0.00,12.97,12.81,16.20,15.62,16.42,15.64,18.98,19.30,14.51,11.12,2.996,2.984,3.145,3.369
91.00,Pa,Protoactinium,231.04,95.87,92.29,108.43,0.00,0.00,13.29,13.12,16.70,16.02,16.93,16.10,19.57,19.88,14.94,11.37,3.083,3.070,3.251,3.470
92.00,U,Uranium,0.00,98.44,94.67,111.30,0.00,0.00,13.61,13.44,17.22,16.43,17.45,16.57,20.17,20.48,15.39,11.62,3.171,3.161,3.337,3.566
